DataSeries,Nominal Price,Real Price,CPI,Year,Month,StandardSeries
"Beef, Chilled (Per Kilogram)",22.75,24.704093821261807,92.09,2014,1,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",22.64,24.055932167371484,94.114,2014,2,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",22.77,24.284373533552323,93.764,2014,3,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",22.49,24.22682078185089,92.831,2014,4,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",22.8,24.492689791489866,93.089,2014,5,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",22.49,24.166684575874147,93.062,2014,6,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",22.55,24.536205864751643,91.905,2014,7,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",22.98,24.395681391127106,94.197,2014,8,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",22.75,24.224290308154266,93.914,2014,9,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",21.99,23.554741476268514,93.357,2014,10,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",22.6,24.092532381003146,93.805,2014,11,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",22.97,23.852296445519773,96.301,2014,12,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",22.91,24.286304898603884,94.333,2015,1,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",22.84,24.764713536019432,92.228,2015,2,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",23.29,23.703145831849127,98.257,2015,3,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",23.13,24.541114058355436,94.25,2015,4,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",23.64,24.58939660283548,96.139,2015,5,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",22.63,23.832592623796785,94.954,2015,6,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",23.64,24.41871274958424,96.811,2015,7,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",23.26,24.163974277729878,96.259,2015,8,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",23.26,23.950246092382464,97.118,2015,9,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",23.01,24.289831206257723,94.731,2015,10,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",23.73,24.54082898982378,96.696,2015,11,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",23.95,25.211853255434498,94.995,2015,12,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",23.95,24.967682748842833,95.924,2016,1,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",23.95,24.465987680174887,97.891,2016,2,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",23.64,24.137719781902835,97.938,2016,3,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",23.95,24.816338372587012,96.509,2016,4,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",23.74,24.651104834690145,96.304,2016,5,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",23.95,24.56964648433493,97.478,2016,6,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",23.59,24.339410447684195,96.921,2016,7,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",23.95,24.476489284509803,97.849,2016,8,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",23.74,24.054634620840595,98.692,2016,9,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",23.95,24.419837676903626,98.076,2016,10,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",23.9,24.162403704227913,98.914,2016,11,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",23.95,24.277995722207017,98.649,2016,12,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",23.95,23.921772308675763,100.118,2017,1,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",23.95,24.053912903744173,99.568,2017,2,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",23.72,24.005424497272568,98.811,2017,3,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",23.95,23.945689775840346,100.018,2017,4,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",23.83,23.797635216106094,100.136,2017,5,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",24.06,24.309414593731685,98.974,2017,6,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",24.22,24.368648757420264,99.39,2017,7,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",24.22,24.066456010652036,100.638,2017,8,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",24.69,24.78417988355752,99.62,2017,9,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",24.69,24.342870664326703,101.426,2017,10,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",24.68,24.477327726425198,100.828,2017,11,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",24.92,24.287788856076336,102.603,2017,12,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",24.92,24.32026233091953,102.466,2018,1,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",24.67,24.127375328854075,102.249,2018,2,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",24.99,24.924945891223903,100.261,2018,3,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",24.99,24.53969656797761,101.835,2018,4,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",24.99,24.544275948770327,101.816,2018,5,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",24.99,24.535600675489924,101.852,2018,6,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",24.99,24.502161955466658,101.991,2018,7,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",24.79,25.848765432098762,95.904,2018,8,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",25.0,25.8160451884055,96.839,2018,9,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",24.49,25.070892581104182,97.683,2018,10,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",24.9,25.357706604205916,98.195,2018,11,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",24.9,25.162444293986276,98.957,2018,12,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",24.7,25.02025931928687,98.72,2019,1,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",24.7,24.8423466462832,99.427,2019,2,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",24.7,24.828612211254296,99.482,2019,3,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",25.05,25.162729026036644,99.552,2019,4,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",24.7,24.894425462864977,99.219,2019,5,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",24.7,24.754211723674846,99.781,2019,6,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",24.7,24.853345139510783,99.383,2019,7,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",24.7,24.77531696356925,99.696,2019,8,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",24.78,24.65230108040351,100.518,2019,9,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",25.27,24.915207445969394,101.424,2019,10,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",25.39,25.089924502944783,101.196,2019,11,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",25.57,25.166827424656997,101.602,2019,12,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",25.57,24.695769750820936,103.54,2020,1,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",25.57,24.459303048564678,104.541,2020,2,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",25.74,24.808682074907953,103.754,2020,3,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",25.74,24.456754111756155,105.247,2020,4,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",24.45,23.147052419316662,105.629,2020,5,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",24.45,23.614974501622623,103.536,2020,6,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",24.85,23.638750428065904,105.124,2020,7,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",24.85,24.422364399367083,101.751,2020,8,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",24.87,24.715773572905075,100.624,2020,9,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",25.69,25.324566505328118,101.443,2020,10,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",24.43,23.643384594539665,103.327,2020,11,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",26.0,25.397817741352537,102.371,2020,12,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",27.27,26.180372880705054,104.162,2021,1,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",28.79,26.633240207959442,108.098,2021,2,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",28.79,26.742339095460583,107.657,2021,3,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",28.97,26.766575504471874,108.232,2021,4,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",28.97,27.129024403948083,106.786,2021,5,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",28.97,26.88231909878811,107.766,2021,6,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",28.56,26.247828764164726,108.809,2021,7,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",28.72,26.13142139646607,109.906,2021,8,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",29.05,26.525804448665035,109.516,2021,9,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",29.05,27.12722247123861,107.088,2021,10,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",29.05,26.133266163492593,111.161,2021,11,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",28.73,25.767047238091823,111.499,2021,12,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",28.61,25.556508378890204,111.948,2022,1,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",28.61,25.399277350165566,112.641,2022,2,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",28.61,25.477990613840575,112.293,2022,3,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",28.61,24.803419248008186,115.347,2022,4,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",28.61,24.264063573373136,117.911,2022,5,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",28.61,26.12212848325481,109.524,2022,6,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",28.68,25.450576365040067,112.689,2022,7,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",28.48,24.759619564272427,115.026,2022,8,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",28.41,23.76153157749471,119.563,2022,9,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",28.5,24.337133341872676,117.105,2022,10,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",28.79,24.19002487060563,119.016,2022,11,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",29.16,24.35093403702745,119.749,2022,12,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",28.94,24.57206901236245,117.776,2023,1,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",28.47,25.472635035386116,111.767,2023,2,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",27.55,24.468444144448195,112.594,2023,3,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",30.39,25.323733813309335,120.006,2023,4,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",30.39,25.129617226067325,120.933,2023,5,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",30.39,25.27108834486429,120.256,2023,6,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",30.39,25.514230543195364,119.11,2023,7,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",27.76,24.004911667805228,115.643,2023,8,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",30.28,25.350155299002907,119.447,2023,9,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",30.39,25.652280343380973,118.469,2023,10,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",30.39,24.75662905787952,122.755,2023,11,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",29.86,24.411978711054065,122.317,2023,12,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",28.26,23.2686433211748,121.451,2024,1,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",29.55,24.009164919806953,123.078,2024,2,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",30.28,24.700824720402654,122.587,2024,3,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",30.59,25.18690511477785,121.452,2024,4,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",30.03,25.307814830733445,118.659,2024,5,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",30.93,26.337525652051742,117.437,2024,6,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",30.93,26.111622331219976,118.453,2024,7,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",30.93,25.11856808731809,123.136,2024,8,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",30.93,24.413923750887996,126.69,2024,9,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",30.93,24.15066642721615,128.071,2024,10,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",30.77,25.00548544123264,123.053,2024,11,"Beef, Chilled"
"Beef, Chilled (Per Kilogram)",30.47,25.56186609172742,119.201,2024,12,"Beef, Chilled"
Beer (Per 6 Cans),15.8,16.151455675498855,97.824,2014,1,Beer
Beer (Per 6 Cans),15.76,16.14489427962629,97.616,2014,2,Beer
Beer (Per 6 Cans),16.59,16.139702305671758,102.79,2014,3,Beer
Beer (Per 6 Cans),17.41,16.151926448895527,107.789,2014,4,Beer
Beer (Per 6 Cans),17.48,16.16796929195764,108.115,2014,5,Beer
Beer (Per 6 Cans),17.61,16.178672815971044,108.847,2014,6,Beer
Beer (Per 6 Cans),17.48,16.167670209125298,108.117,2014,7,Beer
Beer (Per 6 Cans),17.39,16.21006907223222,107.279,2014,8,Beer
Beer (Per 6 Cans),17.34,16.221070553237666,106.898,2014,9,Beer
Beer (Per 6 Cans),17.35,16.187872624301402,107.179,2014,10,Beer
Beer (Per 6 Cans),17.36,16.184971098265894,107.26,2014,11,Beer
Beer (Per 6 Cans),17.29,16.18292603026928,106.841,2014,12,Beer
Beer (Per 6 Cans),17.53,16.20926877982025,108.148,2015,1,Beer
Beer (Per 6 Cans),17.54,16.211470030962612,108.195,2015,2,Beer
Beer (Per 6 Cans),17.51,16.193321064264644,108.131,2015,3,Beer
Beer (Per 6 Cans),17.51,16.180751282169755,108.215,2015,4,Beer
Beer (Per 6 Cans),17.51,16.226635405758557,107.909,2015,5,Beer
Beer (Per 6 Cans),17.45,16.242983868715733,107.431,2015,6,Beer
Beer (Per 6 Cans),17.44,16.240024583523454,107.389,2015,7,Beer
Beer (Per 6 Cans),17.52,16.2642381708302,107.721,2015,8,Beer
Beer (Per 6 Cans),17.44,16.232466795111648,107.439,2015,9,Beer
Beer (Per 6 Cans),17.27,16.2051590019799,106.571,2015,10,Beer
Beer (Per 6 Cans),17.32,16.230906194358543,106.71,2015,11,Beer
Beer (Per 6 Cans),17.49,16.227952160479507,107.777,2015,12,Beer
Beer (Per 6 Cans),17.54,16.2377337530087,108.02,2016,1,Beer
Beer (Per 6 Cans),17.45,16.207982315187206,107.663,2016,2,Beer
Beer (Per 6 Cans),17.5,16.221727845754543,107.88,2016,3,Beer
Beer (Per 6 Cans),17.16,16.20274200249273,105.908,2016,4,Beer
Beer (Per 6 Cans),17.26,16.201704652123308,106.532,2016,5,Beer
Beer (Per 6 Cans),17.26,16.20794245523096,106.491,2016,6,Beer
Beer (Per 6 Cans),17.22,16.214689265536723,106.2,2016,7,Beer
Beer (Per 6 Cans),17.15,16.21764744820282,105.749,2016,8,Beer
Beer (Per 6 Cans),17.12,16.183768965354258,105.785,2016,9,Beer
Beer (Per 6 Cans),17.21,16.2005440972974,106.231,2016,10,Beer
Beer (Per 6 Cans),17.27,16.196192441151645,106.63,2016,11,Beer
Beer (Per 6 Cans),17.24,16.199810187838864,106.421,2016,12,Beer
Beer (Per 6 Cans),17.16,16.200447494878357,105.923,2017,1,Beer
Beer (Per 6 Cans),17.18,16.196698437838805,106.071,2017,2,Beer
Beer (Per 6 Cans),16.76,16.174483690407257,103.62,2017,3,Beer
Beer (Per 6 Cans),16.96,16.174871726400518,104.854,2017,4,Beer
Beer (Per 6 Cans),16.96,16.16731647331344,104.903,2017,5,Beer
Beer (Per 6 Cans),16.92,16.17544429892068,104.603,2017,6,Beer
Beer (Per 6 Cans),16.48,16.12398246712586,102.208,2017,7,Beer
Beer (Per 6 Cans),16.56,16.132489040428638,102.65,2017,8,Beer
Beer (Per 6 Cans),16.6,16.13734239357617,102.867,2017,9,Beer
Beer (Per 6 Cans),16.78,16.175208937815093,103.739,2017,10,Beer
Beer (Per 6 Cans),16.69,16.164805470270903,103.249,2017,11,Beer
Beer (Per 6 Cans),16.28,16.12711495027143,100.948,2017,12,Beer
Beer (Per 6 Cans),16.25,16.133195663397004,100.724,2018,1,Beer
Beer (Per 6 Cans),16.24,16.130794521092202,100.677,2018,2,Beer
Beer (Per 6 Cans),16.15,16.12355736591989,100.164,2018,3,Beer
Beer (Per 6 Cans),16.49,16.151307090316074,102.097,2018,4,Beer
Beer (Per 6 Cans),16.28,16.163782404511565,100.719,2018,5,Beer
Beer (Per 6 Cans),16.43,16.18495970999074,101.514,2018,6,Beer
Beer (Per 6 Cans),16.49,16.18809208265842,101.865,2018,7,Beer
Beer (Per 6 Cans),16.21,16.163288097398517,100.289,2018,8,Beer
Beer (Per 6 Cans),16.28,16.16281955820303,100.725,2018,9,Beer
Beer (Per 6 Cans),16.69,16.191936047188484,103.076,2018,10,Beer
Beer (Per 6 Cans),16.1,16.1481214017773,99.702,2018,11,Beer
Beer (Per 6 Cans),16.25,16.158221302998964,100.568,2018,12,Beer
Beer (Per 6 Cans),16.12,16.133713656608116,99.915,2019,1,Beer
Beer (Per 6 Cans),16.25,16.150673358843115,100.615,2019,2,Beer
Beer (Per 6 Cans),16.27,16.14583850192023,100.769,2019,3,Beer
Beer (Per 6 Cans),16.05,16.12643932238812,99.526,2019,4,Beer
Beer (Per 6 Cans),16.07,16.132108618179995,99.615,2019,5,Beer
Beer (Per 6 Cans),16.14,16.13822479527252,100.011,2019,6,Beer
Beer (Per 6 Cans),16.03,16.123029882421573,99.423,2019,7,Beer
Beer (Per 6 Cans),16.24,16.142499304202616,100.604,2019,8,Beer
Beer (Per 6 Cans),16.24,16.14442500397646,100.592,2019,9,Beer
Beer (Per 6 Cans),16.16,16.13466857034456,100.157,2019,10,Beer
Beer (Per 6 Cans),16.12,16.235597453871566,99.288,2019,11,Beer
Beer (Per 6 Cans),16.16,16.243328274045858,99.487,2019,12,Beer
Beer (Per 6 Cans),15.9,16.202335581959364,98.134,2020,1,Beer
Beer (Per 6 Cans),15.6,16.101065147386674,96.888,2020,2,Beer
Beer (Per 6 Cans),15.56,16.250652741514358,95.75,2020,3,Beer
Beer (Per 6 Cans),15.7,16.27837050400738,96.447,2020,4,Beer
Beer (Per 6 Cans),15.88,16.31981912543035,97.305,2020,5,Beer
Beer (Per 6 Cans),15.41,16.192417619367856,95.168,2020,6,Beer
Beer (Per 6 Cans),15.8,16.263007833005673,97.153,2020,7,Beer
Beer (Per 6 Cans),15.55,16.331460379141944,95.215,2020,8,Beer
Beer (Per 6 Cans),15.19,16.295485753518708,93.216,2020,9,Beer
Beer (Per 6 Cans),15.72,16.271439070085187,96.611,2020,10,Beer
Beer (Per 6 Cans),15.45,16.21587581472968,95.277,2020,11,Beer
Beer (Per 6 Cans),15.55,16.075840750964034,96.729,2020,12,Beer
Beer (Per 6 Cans),15.28,16.055648372894535,95.169,2021,1,Beer
Beer (Per 6 Cans),15.15,16.03140674271444,94.502,2021,2,Beer
Beer (Per 6 Cans),15.45,16.168360245717214,95.557,2021,3,Beer
Beer (Per 6 Cans),15.39,16.156292975844295,95.257,2021,4,Beer
Beer (Per 6 Cans),15.5,16.135748490526755,96.06,2021,5,Beer
Beer (Per 6 Cans),15.48,16.16828384320525,95.743,2021,6,Beer
Beer (Per 6 Cans),15.38,16.14901614901615,95.238,2021,7,Beer
Beer (Per 6 Cans),15.45,16.187163422249228,95.446,2021,8,Beer
Beer (Per 6 Cans),15.43,16.211388947257827,95.18,2021,9,Beer
Beer (Per 6 Cans),15.47,16.169492234044778,95.674,2021,10,Beer
Beer (Per 6 Cans),15.56,16.304290878608477,95.435,2021,11,Beer
Beer (Per 6 Cans),15.31,16.186841187105504,94.583,2021,12,Beer
Beer (Per 6 Cans),15.05,16.17862057103543,93.024,2022,1,Beer
Beer (Per 6 Cans),15.42,16.121612579458013,95.648,2022,2,Beer
Beer (Per 6 Cans),15.57,16.21165739988755,96.042,2022,3,Beer
Beer (Per 6 Cans),15.87,16.183143833171876,98.065,2022,4,Beer
Beer (Per 6 Cans),15.86,16.185985753066763,97.986,2022,5,Beer
Beer (Per 6 Cans),16.3,16.205360693549668,100.584,2022,6,Beer
Beer (Per 6 Cans),15.97,16.235614655768373,98.364,2022,7,Beer
Beer (Per 6 Cans),15.86,16.23137383330604,97.712,2022,8,Beer
Beer (Per 6 Cans),15.97,16.223409658871574,98.438,2022,9,Beer
Beer (Per 6 Cans),16.15,16.29732784370711,99.096,2022,10,Beer
Beer (Per 6 Cans),16.12,16.340598073998986,98.65,2022,11,Beer
Beer (Per 6 Cans),16.18,16.283071844777442,99.367,2022,12,Beer
Beer (Per 6 Cans),16.1,16.225586035918006,99.226,2023,1,Beer
Beer (Per 6 Cans),16.31,16.23984387446232,100.432,2023,2,Beer
Beer (Per 6 Cans),16.3,16.26632869959185,100.207,2023,3,Beer
Beer (Per 6 Cans),16.74,16.268379673271845,102.899,2023,4,Beer
Beer (Per 6 Cans),16.98,16.244140438151728,104.53,2023,5,Beer
Beer (Per 6 Cans),16.81,16.2250856618889,103.605,2023,6,Beer
Beer (Per 6 Cans),17.03,16.245504583655286,104.829,2023,7,Beer
Beer (Per 6 Cans),16.79,16.224260051987205,103.487,2023,8,Beer
Beer (Per 6 Cans),16.46,16.24283331853124,101.337,2023,9,Beer
Beer (Per 6 Cans),16.98,16.340435360009238,103.914,2023,10,Beer
Beer (Per 6 Cans),16.68,16.278093862534035,102.469,2023,11,Beer
Beer (Per 6 Cans),16.16,16.187843090115,99.828,2023,12,Beer
Beer (Per 6 Cans),16.1,16.184971098265898,99.475,2024,1,Beer
Beer (Per 6 Cans),16.48,16.223666075999212,101.58,2024,2,Beer
Beer (Per 6 Cans),16.34,16.196338477702778,100.887,2024,3,Beer
Beer (Per 6 Cans),16.0,16.156230751365705,99.033,2024,4,Beer
Beer (Per 6 Cans),15.7,16.156418832004114,97.175,2024,5,Beer
Beer (Per 6 Cans),16.06,16.19898731112949,99.142,2024,6,Beer
Beer (Per 6 Cans),15.95,16.2075377752487,98.411,2024,7,Beer
Beer (Per 6 Cans),15.74,16.338308870850547,96.338,2024,8,Beer
Beer (Per 6 Cans),15.92,16.267307004547078,97.865,2024,9,Beer
Beer (Per 6 Cans),16.18,16.244001365379596,99.606,2024,10,Beer
Beer (Per 6 Cans),15.65,16.144506225692975,96.937,2024,11,Beer
Beer (Per 6 Cans),15.58,16.100197377259246,96.769,2024,12,Beer
Ordinary White Bread (Per 400 Gram),1.56,1.6729940158290972,93.246,2014,1,Bread
Vitamin Enriched Bread (Per 400 Gram),1.89,2.026896596100637,93.246,2014,1,Bread
Wholemeal Bread (Per 400 Gram),2.05,2.1984857259292623,93.246,2014,1,Bread
Ordinary White Bread (Per 400 Gram),1.56,1.6735503942498526,93.215,2014,2,Bread
Vitamin Enriched Bread (Per 400 Gram),1.89,2.027570669956552,93.215,2014,2,Bread
Wholemeal Bread (Per 400 Gram),2.05,2.199216864238588,93.215,2014,2,Bread
Ordinary White Bread (Per 400 Gram),1.57,1.6851822036172384,93.165,2014,3,Bread
Vitamin Enriched Bread (Per 400 Gram),1.89,2.028658831106102,93.165,2014,3,Bread
Wholemeal Bread (Per 400 Gram),2.04,2.189663500241507,93.165,2014,3,Bread
Ordinary White Bread (Per 400 Gram),1.57,1.685489758234208,93.148,2014,4,Bread
Vitamin Enriched Bread (Per 400 Gram),1.87,2.0075578649031653,93.148,2014,4,Bread
Wholemeal Bread (Per 400 Gram),2.04,2.1900631253489076,93.148,2014,4,Bread
Ordinary White Bread (Per 400 Gram),1.57,1.6825634980173616,93.31,2014,5,Bread
Vitamin Enriched Bread (Per 400 Gram),1.87,2.0040724466830993,93.31,2014,5,Bread
Wholemeal Bread (Per 400 Gram),2.05,2.1969778158825415,93.31,2014,5,Bread
Ordinary White Bread (Per 400 Gram),1.57,1.6891710151164667,92.945,2014,6,Bread
Vitamin Enriched Bread (Per 400 Gram),1.87,2.011942546667384,92.945,2014,6,Bread
Wholemeal Bread (Per 400 Gram),2.05,2.2056054655979342,92.945,2014,6,Bread
Ordinary White Bread (Per 400 Gram),1.57,1.6894800275482094,92.928,2014,7,Bread
Vitamin Enriched Bread (Per 400 Gram),1.87,2.0123106060606064,92.928,2014,7,Bread
Wholemeal Bread (Per 400 Gram),2.05,2.2060089531680442,92.928,2014,7,Bread
Ordinary White Bread (Per 400 Gram),1.57,1.6835738949535675,93.254,2014,8,Bread
Vitamin Enriched Bread (Per 400 Gram),1.89,2.026722714307161,93.254,2014,8,Bread
Wholemeal Bread (Per 400 Gram),2.05,2.1982971239839575,93.254,2014,8,Bread
Ordinary White Bread (Per 400 Gram),1.57,1.6842421446731821,93.217,2014,9,Bread
